track_url,cover_url
https://open.spotify.com/track/1Spmq0UazGU6ovMIlGldZX,https://i.scdn.co/image/ab67616d0000b2732104ec6803bdd7acb20309bf
https://open.spotify.com/track/3oOWBUNbwHZkWF2WND4kK2,https://i.scdn.co/image/ab67616d0000b2735760710a48f0f595f5814dc1
https://open.spotify.com/track/2ACOWPLUe4A4KuQ5ioD2od,https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8
https://open.spotify.com/track/58gqyeFXhOttZW3yetJGPN,https://i.scdn.co/image/ab67616d0000b2738aa4f3ab66823042785b7f17
https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt,https://i.scdn.co/image/ab67616d0000b273198d0d6659372adaa801ea4d
https://open.spotify.com/track/76Tuo484SLohJakHLnGI3B,https://i.scdn.co/image/ab67616d0000b2737a631bb63b905980cc94f40e
https://open.spotify.com/track/1iupzLgX4O0Qosb4yDpYoz,https://i.scdn.co/image/ab67616d0000b273b3d3d1ba43e085f5ab80e56a
https://open.spotify.com/track/0lUSd7TCG8srh6HpIAEIWL,https://i.scdn.co/image/ab67616d0000b2733042c53026e29faf3a21c9f9
https://open.spotify.com/track/0ErK6K0kYr0Ow2RkPMhmMs,https://i.scdn.co/image/ab67616d0000b2733042c53026e29faf3a21c9f9
https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,https://i.scdn.co/image/ab67616d0000b27315174e2b2347b5ffbea6dbf0
https://open.spotify.com/track/1rp986nzkyAX1wFpxzbwlC,https://i.scdn.co/image/ab67616d0000b273ff8a783336acbef4b6fab82f
https://open.spotify.com/track/5uZ5VUoj2al8GttE421bTD,https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d
https://open.spotify.com/track/4gsczr7bgYQuaHK4GUWsZg,https://i.scdn.co/image/ab67616d0000b273d63b5a0135efc30db9a4f3b1
https://open.spotify.com/track/06uNwpGEx0XElATDWFwsxZ,https://i.scdn.co/image/ab67616d0000b273ff9f30022f2ed433ac09cf78
https://open.spotify.com/track/7hDoxkN20lLb06zifzYnD2,https://i.scdn.co/image/ab67616d0000b2739e3495a35db3c1e374ce09b5
https://open.spotify.com/track/1rp986nzkyAX1wFpxzbwlC,https://i.scdn.co/image/ab67616d0000b273ff8a783336acbef4b6fab82f
https://open.spotify.com/track/5uZ5VUoj2al8GttE421bTD,https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d
https://open.spotify.com/track/4gsczr7bgYQuaHK4GUWsZg,https://i.scdn.co/image/ab67616d0000b273d63b5a0135efc30db9a4f3b1
https://open.spotify.com/track/06uNwpGEx0XElATDWFwsxZ,https://i.scdn.co/image/ab67616d0000b273ff9f30022f2ed433ac09cf78
https://open.spotify.com/track/3Kl8p2PxVf8eAayLwTxOIm,https://i.scdn.co/image/ab67616d0000b273bcb8ec035de7b2dda0f74660
https://open.spotify.com/track/4iEGv5Ne6HuCkFCjzxdWQK,https://i.scdn.co/image/ab67616d0000b27309da21afe2776c8de40a80c5
https://open.spotify.com/track/0ypgFw67lNEpoKFUxUV0tG,https://i.scdn.co/image/ab67616d0000b273aedf6f748f73e59cf25bcf25
https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq,https://i.scdn.co/image/ab67616d0000b273d1f803cbe9c43700b4ea6895
https://open.spotify.com/track/4qRcjFkFqSpLBzcbLDt7HL,https://i.scdn.co/image/ab67616d0000b2739701faf1c34cc355fd3cd3c0
https://open.spotify.com/track/7H3mfOvtPNA8YDF3EdKy0L,https://i.scdn.co/image/ab67616d0000b273ad204486839062991becfbc9
https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,https://i.scdn.co/image/ab67616d0000b2737b93fd8b0ade33ceb9d536de
https://open.spotify.com/track/6N5WkgPIDoTdbCXyyIIKAv,https://i.scdn.co/image/ab67616d0000b273f777db9f9ac6ad355e9e23aa
https://open.spotify.com/track/58SIEtTjWErr0yEXVBKxvd,https://i.scdn.co/image/ab67616d0000b273671688fecb68803a14be89ad
https://open.spotify.com/track/0rlLBWFFTQiOWi963SH9bb,https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e
https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795
https://open.spotify.com/track/3WUyu94psXrYV6HZbXgcFA,https://i.scdn.co/image/ab67616d0000b273ca0bf7a337ed7a8bcc34948e
https://open.spotify.com/track/5KCH6zWcx5qUYbmp0uaaE7,https://i.scdn.co/image/ab67616d0000b27373bbf0c1a4ff9f5182e01595
https://open.spotify.com/track/1cdbkpZ3q1KYZDNSrOpdkb,https://i.scdn.co/image/ab67616d0000b2731895052324f123becdd0d53d
https://open.spotify.com/track/14XLUySagFhP9KoqOTg5ka,https://i.scdn.co/image/ab67616d0000b273278d6cf14513bd97cb580fe7
